200226114612378.apd	26-2-2020	11:48:25
Minimum Value	0,000000		
Maximum Value	116,000000		
Mean Value	49,493828		
Standard  Deviation	37,847607		
Nb of Pixels	324,000000		
			
X Position	Y Position	Value	
1428	963	69,000000	
1428	964	110,000000	
1428	965	112,000000	
1428	966	98,000000	
1428	967	89,000000	
1428	968	82,000000	
1428	969	88,000000	
1428	970	92,000000	
1428	971	87,000000	
1428	972	83,000000	
1428	973	56,000000	
1428	974	27,000000	
1428	975	9,000000	
1428	976	0,000000	
1428	977	0,000000	
1428	978	0,000000	
1428	979	0,000000	
1428	980	0,000000	
1428	981	0,000000	
1428	982	0,000000	
1428	983	0,000000	
1428	984	1,000000	
1428	985	8,000000	
1428	986	19,000000	
1428	987	56,000000	
1428	988	100,000000	
1428	989	101,000000	
1428	990	89,000000	
1429	991	91,000000	
1429	992	86,000000	
1429	993	91,000000	
1429	994	94,000000	
1429	995	96,000000	
1429	996	101,000000	
1429	997	96,000000	
1429	998	90,000000	
1429	999	83,000000	
1429	1000	79,000000	
1429	1001	77,000000	
1429	1002	76,000000	
1429	1003	78,000000	
1429	1004	80,000000	
1429	1005	77,000000	

