200226115059541.apd	26-2-2020	11:52:15
Minimum Value	8,000000		
Maximum Value	153,000000		
Mean Value	77,599037		
Standard  Deviation	49,916367		
Nb of Pixels	1247,000000		
			
X Position	Y Position	Value	
744	185	114,000000	
744	186	114,000000	
744	187	114,000000	
744	188	113,000000	
744	189	112,000000	
744	190	114,000000	
744	191	116,000000	
744	192	119,000000	
744	193	117,000000	
744	194	117,000000	
744	195	114,000000	
744	196	112,000000	
744	197	114,000000	
745	198	116,000000	
745	199	116,000000	
745	200	116,000000	
745	201	112,000000	
745	202	111,000000	
745	203	111,000000	
745	204	111,000000	
745	205	113,000000	
745	206	113,000000	
745	207	112,000000	
745	208	112,000000	
745	209	118,000000	
745	210	122,000000	
745	211	123,000000	
745	212	124,000000	
745	213	120,000000	
745	214	113,000000	
745	215	100,000000	
745	216	90,000000	
745	217	71,000000	
745	218	56,000000	
745	219	44,000000	
745	220	33,000000	
745	221	32,000000	
745	222	27,000000	
745	223	25,000000	
746	224	23,000000	
746	225	22,000000	
746	226	22,000000	
746	227	20,000000	
746	228	20,000000	
746	229	18,000000	
746	230	18,000000	
746	231	17,000000	
746	232	18,000000	
746	233	18,000000	
746	234	18,000000	
746	235	18,000000	
746	236	19,000000	
746	237	19,000000	
746	238	18,000000	
746	239	16,000000	
746	240	14,000000	
746	241	17,000000	
746	242	16,000000	
746	243	17,000000	
746	244	18,000000	
746	245	17,000000	
746	246	15,000000	
746	247	15,000000	
746	248	15,000000	
746	249	16,000000	
747	250	16,000000	
747	251	17,000000	
747	252	15,000000	
747	253	16,000000	
747	254	18,000000	
747	255	19,000000	
747	256	20,000000	
747	257	22,000000	
747	258	25,000000	
747	259	30,000000	
747	260	38,000000	
747	261	51,000000	
747	262	63,000000	
747	263	76,000000	
747	264	85,000000	
747	265	94,000000	
747	266	103,000000	
747	267	109,000000	
747	268	113,000000	
747	269	113,000000	
747	270	112,000000	
747	271	113,000000	
747	272	112,000000	
747	273	108,000000	
747	274	106,000000	
747	275	111,000000	
748	276	117,000000	
748	277	118,000000	
748	278	118,000000	
748	279	116,000000	
748	280	118,000000	
748	281	120,000000	
748	282	118,000000	
748	283	117,000000	
748	284	114,000000	
748	285	114,000000	
748	286	115,000000	
748	287	114,000000	
748	288	115,000000	
748	289	117,000000	
748	290	116,000000	
748	291	119,000000	
748	292	119,000000	
748	293	119,000000	
748	294	118,000000	
748	295	116,000000	
748	296	112,000000	
748	297	116,000000	
748	298	118,000000	
748	299	118,000000	
748	300	119,000000	
748	301	120,000000	
749	302	118,000000	
749	303	101,000000	
749	304	87,000000	
749	305	65,000000	
749	306	48,000000	
749	307	38,000000	
749	308	28,000000	
749	309	24,000000	
749	310	19,000000	
749	311	18,000000	
749	312	18,000000	
749	313	18,000000	
749	314	18,000000	
749	315	18,000000	
749	316	17,000000	
749	317	17,000000	
749	318	17,000000	
749	319	16,000000	
749	320	14,000000	
749	321	14,000000	
749	322	15,000000	
749	323	15,000000	
749	324	14,000000	
749	325	13,000000	
749	326	13,000000	
749	327	14,000000	
750	328	14,000000	
750	329	14,000000	
750	330	14,000000	
750	331	14,000000	
750	332	14,000000	
750	333	15,000000	
750	334	15,000000	
750	335	14,000000	
750	336	13,000000	
750	337	14,000000	
750	338	15,000000	
750	339	16,000000	
750	340	18,000000	
750	341	17,000000	
750	342	17,000000	
750	343	18,000000	
750	344	20,000000	
750	345	23,000000	
750	346	28,000000	
750	347	35,000000	
750	348	44,000000	
750	349	58,000000	
750	350	69,000000	
750	351	85,000000	
750	352	97,000000	
750	353	107,000000	
751	354	116,000000	
751	355	117,000000	
751	356	121,000000	
751	357	122,000000	
751	358	120,000000	
751	359	121,000000	
751	360	120,000000	
751	361	117,000000	
751	362	115,000000	
751	363	118,000000	
751	364	121,000000	
751	365	123,000000	
751	366	124,000000	
751	367	123,000000	
751	368	124,000000	
751	369	122,000000	
751	370	121,000000	
751	371	120,000000	
751	372	119,000000	
751	373	118,000000	
751	374	120,000000	
751	375	122,000000	
751	376	123,000000	
751	377	119,000000	
751	378	118,000000	
751	379	120,000000	
752	380	122,000000	
752	381	120,000000	
752	382	119,000000	
752	383	118,000000	
752	384	118,000000	
752	385	124,000000	
752	386	128,000000	
752	387	126,000000	
752	388	126,000000	
752	389	123,000000	
752	390	112,000000	
752	391	91,000000	
752	392	70,000000	
752	393	52,000000	
752	394	37,000000	
752	395	32,000000	
752	396	25,000000	
752	397	23,000000	
752	398	21,000000	
752	399	18,000000	
752	400	19,000000	
752	401	18,000000	
752	402	21,000000	
752	403	21,000000	
752	404	19,000000	
752	405	20,000000	
753	406	19,000000	
753	407	19,000000	
753	408	21,000000	
753	409	18,000000	
753	410	17,000000	
753	411	17,000000	
753	412	16,000000	
753	413	17,000000	
753	414	16,000000	
753	415	17,000000	
753	416	16,000000	
753	417	17,000000	
753	418	16,000000	
753	419	16,000000	
753	420	18,000000	
753	421	18,000000	
753	422	18,000000	
753	423	17,000000	
753	424	17,000000	
753	425	20,000000	
753	426	20,000000	
753	427	19,000000	
753	428	21,000000	
753	429	22,000000	
753	430	24,000000	
753	431	25,000000	
754	432	30,000000	
754	433	32,000000	
754	434	39,000000	
754	435	52,000000	
754	436	61,000000	
754	437	80,000000	
754	438	98,000000	
754	439	115,000000	
754	440	125,000000	
754	441	129,000000	
754	442	132,000000	
754	443	131,000000	
754	444	132,000000	
754	445	128,000000	
754	446	126,000000	
754	447	125,000000	
754	448	125,000000	
754	449	125,000000	
754	450	126,000000	
754	451	126,000000	
754	452	126,000000	
754	453	123,000000	
754	454	123,000000	
754	455	123,000000	
754	456	124,000000	
754	457	126,000000	
755	458	127,000000	
755	459	126,000000	
755	460	125,000000	
755	461	125,000000	
755	462	126,000000	
755	463	127,000000	
755	464	127,000000	
755	465	131,000000	
755	466	131,000000	
755	467	132,000000	
755	468	132,000000	
755	469	131,000000	
755	470	128,000000	
755	471	129,000000	
755	472	129,000000	
755	473	128,000000	
755	474	125,000000	
755	475	126,000000	
755	476	128,000000	
755	477	129,000000	
755	478	129,000000	
755	479	129,000000	
755	480	128,000000	
755	481	128,000000	
755	482	130,000000	
755	483	130,000000	
756	484	132,000000	
756	485	131,000000	
756	486	130,000000	
756	487	127,000000	
756	488	124,000000	
756	489	125,000000	
756	490	125,000000	
756	491	130,000000	
756	492	132,000000	
756	493	132,000000	
756	494	129,000000	
