200226113615980.apd	26-2-2020	11:43:04
Minimum Value	6,000000		
Maximum Value	203,000000		
Mean Value	124,138885		
Standard  Deviation	70,213226		
Nb of Pixels	144,000000		
			
X Position	Y Position	Value	
1093	496	202,000000	
1093	495	202,000000	
1093	494	202,000000	
1093	493	201,000000	
1093	492	201,000000	
1093	491	200,000000	
1093	490	189,000000	
1093	489	114,000000	
1093	488	40,000000	
1093	487	46,000000	
1093	486	57,000000	
1093	485	149,000000	
1093	484	189,000000	
1093	483	114,000000	
1093	482	40,000000	
1093	481	48,000000	
1093	480	61,000000	
1093	479	146,000000	
1093	478	186,000000	
1093	477	114,000000	
1093	476	41,000000	
1093	475	49,000000	
1093	474	64,000000	
1093	473	156,000000	
1093	472	202,000000	
1093	471	203,000000	
1093	470	202,000000	
1093	469	197,000000	
1093	468	182,000000	
1093	467	103,000000	
1093	466	21,000000	
1093	465	33,000000	
1093	464	57,000000	
1093	463	150,000000	
1093	462	189,000000	
1093	461	128,000000	
1093	460	66,000000	
1093	459	42,000000	
1093	458	28,000000	
1093	457	120,000000	
1093	456	186,000000	
1093	455	171,000000	
1093	454	157,000000	
1093	453	94,000000	
1093	452	18,000000	
1093	451	73,000000	
1093	450	131,000000	
1093	449	187,000000	
1093	448	202,000000	
1093	447	203,000000	
1093	446	199,000000	
1093	445	193,000000	
1093	444	181,000000	
1093	443	105,000000	
1093	442	25,000000	
1093	441	17,000000	
1093	440	21,000000	
1093	439	116,000000	
1093	438	187,000000	
1093	437	184,000000	
1093	436	171,000000	
1093	435	95,000000	
1093	434	11,000000	
1093	433	20,000000	
1093	432	48,000000	
1093	431	136,000000	
1093	430	189,000000	
1093	429	169,000000	
1093	428	152,000000	
1093	427	83,000000	
1093	426	16,000000	
1093	425	54,000000	
1092	424	104,000000	
1092	423	192,000000	
1092	422	200,000000	
1092	421	201,000000	
1092	420	201,000000	
1092	419	201,000000	
1092	418	192,000000	
1092	417	181,000000	
1092	416	158,000000	
1092	415	80,000000	
1092	414	12,000000	
1092	413	15,000000	
1092	412	57,000000	
1092	411	139,000000	
1092	410	188,000000	
1092	409	191,000000	
1092	408	166,000000	
1092	407	84,000000	
1092	406	18,000000	
1092	405	11,000000	
1092	404	32,000000	
1092	403	110,000000	
1092	402	182,000000	
1092	401	195,000000	
1092	400	173,000000	
1092	399	101,000000	
1092	398	41,000000	
1092	397	17,000000	
1092	396	23,000000	
1092	395	78,000000	
1092	394	150,000000	
1092	393	197,000000	
1092	392	199,000000	
1092	391	200,000000	
1092	390	200,000000	
1092	389	201,000000	
1092	388	195,000000	
1092	387	189,000000	
1092	386	167,000000	
1092	385	87,000000	
1092	384	20,000000	
1092	383	8,000000	
1092	382	15,000000	
1092	381	53,000000	
1092	380	119,000000	
1092	379	196,000000	
1092	378	189,000000	
1092	377	179,000000	
1092	376	157,000000	
1092	375	78,000000	
1092	374	7,000000	
1092	373	6,000000	
1092	372	23,000000	
1092	371	101,000000	
1092	370	182,000000	
1092	369	196,000000	
1092	368	180,000000	
1092	367	153,000000	
1092	366	113,000000	
1092	365	48,000000	
1092	364	11,000000	
1092	363	16,000000	
1092	362	54,000000	
1092	361	130,000000	
1092	360	193,000000	
1092	359	203,000000	
1092	358	201,000000	
1092	357	199,000000	
1092	356	198,000000	
1092	355	197,000000	
1092	354	197,000000	
1092	353	198,000000	

