200226114612378.apd	26-2-2020	11:48:02
Minimum Value	0,000000		
Maximum Value	118,000000		
Mean Value	51,613708		
Standard  Deviation	42,684605		
Nb of Pixels	321,000000		
			
X Position	Y Position	Value	
1166	689	99,000000	
1166	690	97,000000	
1166	691	97,000000	
1166	692	96,000000	
1166	693	96,000000	
1166	694	97,000000	
1166	695	97,000000	
1166	696	99,000000	
1166	697	95,000000	
1166	698	91,000000	
1166	699	94,000000	
1166	700	100,000000	
1166	701	101,000000	
1166	702	97,000000	
1166	703	68,000000	
1166	704	25,000000	
1166	705	7,000000	
1166	706	2,000000	
1167	707	2,000000	
1167	708	0,000000	
1167	709	1,000000	
1167	710	0,000000	
1167	711	0,000000	
1167	712	1,000000	
1167	713	3,000000	
1167	714	6,000000	
1167	715	32,000000	
1167	716	68,000000	
1167	717	91,000000	
1167	718	116,000000	
1167	719	106,000000	
1167	720	95,000000	
1167	721	101,000000	
1167	722	106,000000	
1167	723	99,000000	
1167	724	95,000000	
1167	725	61,000000	
1167	726	23,000000	
1167	727	11,000000	
1167	728	3,000000	
1167	729	2,000000	
1167	730	1,000000	
1167	731	1,000000	
1167	732	0,000000	
1167	733	1,000000	
1167	734	1,000000	
1167	735	5,000000	
1167	736	8,000000	
1167	737	39,000000	
1167	738	79,000000	
1167	739	97,000000	
1167	740	118,000000	
1167	741	101,000000	
1167	742	86,000000	
1168	743	94,000000	
1168	744	104,000000	
1168	745	91,000000	
1168	746	72,000000	
1168	747	45,000000	
1168	748	11,000000	
1168	749	2,000000	
1168	750	2,000000	
1168	751	1,000000	
1168	752	1,000000	
1168	753	0,000000	
1168	754	0,000000	
1168	755	0,000000	
1168	756	0,000000	
1168	757	6,000000	
1168	758	14,000000	
1168	759	46,000000	
1168	760	91,000000	
1168	761	110,000000	
1168	762	109,000000	
1168	763	101,000000	
1168	764	95,000000	
1168	765	95,000000	
1168	766	98,000000	
1168	767	97,000000	
1168	768	98,000000	
1168	769	101,000000	
1168	770	106,000000	
1168	771	100,000000	
1168	772	91,000000	
1168	773	88,000000	
1168	774	83,000000	
1168	775	89,000000	
1168	776	95,000000	
1168	777	88,000000	
1169	778	87,000000	
1169	779	57,000000	
1169	780	25,000000	
1169	781	9,000000	
1169	782	1,000000	
1169	783	0,000000	
1169	784	0,000000	
1169	785	0,000000	
1169	786	0,000000	
1169	787	0,000000	
1169	788	0,000000	
1169	789	9,000000	
1169	790	18,000000	
1169	791	53,000000	
1169	792	97,000000	
1169	793	98,000000	
1169	794	96,000000	
1169	795	97,000000	
1169	796	98,000000	
1169	797	93,000000	
1169	798	88,000000	
1169	799	53,000000	
1169	800	19,000000	
1169	801	5,000000	
1169	802	0,000000	
1169	803	0,000000	
1169	804	0,000000	
1169	805	0,000000	
1169	806	0,000000	
1169	807	0,000000	
1169	808	2,000000	
1169	809	24,000000	
1169	810	50,000000	
1169	811	79,000000	
1169	812	111,000000	
1169	813	102,000000	
1170	814	93,000000	
1170	815	98,000000	
1170	816	104,000000	
1170	817	86,000000	
1170	818	62,000000	
1170	819	37,000000	
1170	820	7,000000	
