200226115059541.apd	26-2-2020	11:51:49
Minimum Value	0,000000		
Maximum Value	101,000000		
Mean Value	49,309742		
Standard  Deviation	33,581753		
Nb of Pixels	1201,000000		
			
X Position	Y Position	Value	
1806	167	80,000000	
1806	168	81,000000	
1806	169	83,000000	
1806	170	84,000000	
1806	171	83,000000	
1806	172	82,000000	
1806	173	85,000000	
1806	174	84,000000	
1806	175	84,000000	
1806	176	83,000000	
1806	177	82,000000	
1807	178	82,000000	
1807	179	85,000000	
1807	180	87,000000	
1807	181	81,000000	
1807	182	78,000000	
1807	183	60,000000	
1807	184	41,000000	
1807	185	27,000000	
1807	186	13,000000	
1807	187	9,000000	
1807	188	6,000000	
1807	189	6,000000	
1807	190	6,000000	
1807	191	6,000000	
1807	192	5,000000	
1807	193	5,000000	
1807	194	5,000000	
1807	195	5,000000	
1807	196	5,000000	
1807	197	5,000000	
1807	198	6,000000	
1808	199	5,000000	
1808	200	5,000000	
1808	201	5,000000	
1808	202	5,000000	
1808	203	6,000000	
1808	204	6,000000	
1808	205	6,000000	
1808	206	11,000000	
1808	207	20,000000	
1808	208	29,000000	
1808	209	43,000000	
1808	210	50,000000	
1808	211	62,000000	
1808	212	77,000000	
1808	213	82,000000	
1808	214	86,000000	
1808	215	83,000000	
1808	216	83,000000	
1808	217	82,000000	
1808	218	81,000000	
1809	219	80,000000	
1809	220	79,000000	
1809	221	81,000000	
1809	222	80,000000	
1809	223	81,000000	
1809	224	82,000000	
1809	225	85,000000	
1809	226	86,000000	
1809	227	87,000000	
1809	228	87,000000	
1809	229	80,000000	
1809	230	75,000000	
1809	231	56,000000	
1809	232	39,000000	
1809	233	27,000000	
1809	234	15,000000	
1809	235	10,000000	
1809	236	6,000000	
1809	237	5,000000	
1809	238	5,000000	
1809	239	5,000000	
1810	240	6,000000	
1810	241	5,000000	
1810	242	5,000000	
1810	243	5,000000	
1810	244	5,000000	
1810	245	5,000000	
1810	246	4,000000	
1810	247	6,000000	
1810	248	6,000000	
1810	249	6,000000	
1810	250	7,000000	
1810	251	6,000000	
1810	252	5,000000	
1810	253	6,000000	
1810	254	11,000000	
1810	255	15,000000	
1810	256	26,000000	
1810	257	40,000000	
1810	258	51,000000	
1810	259	60,000000	
1810	260	73,000000	
1811	261	79,000000	
1811	262	87,000000	
1811	263	88,000000	
1811	264	87,000000	
1811	265	85,000000	
1811	266	83,000000	
1811	267	82,000000	
1811	268	83,000000	
1811	269	86,000000	
1811	270	87,000000	
1811	271	88,000000	
1811	272	86,000000	
1811	273	86,000000	
1811	274	87,000000	
1811	275	87,000000	
1811	276	87,000000	
1811	277	87,000000	
1811	278	88,000000	
1811	279	74,000000	
1811	280	62,000000	
1812	281	42,000000	
1812	282	25,000000	
1812	283	16,000000	
1812	284	8,000000	
1812	285	7,000000	
1812	286	5,000000	
1812	287	6,000000	
1812	288	6,000000	
1812	289	6,000000	
1812	290	6,000000	
1812	291	5,000000	
1812	292	5,000000	
1812	293	6,000000	
1812	294	6,000000	
1812	295	7,000000	
1812	296	6,000000	
1812	297	6,000000	
1812	298	5,000000	
1812	299	6,000000	
1812	300	6,000000	
1812	301	6,000000	
1813	302	6,000000	
1813	303	9,000000	
1813	304	16,000000	
1813	305	31,000000	
1813	306	43,000000	
1813	307	52,000000	
1813	308	67,000000	
1813	309	77,000000	
1813	310	87,000000	
1813	311	86,000000	
1813	312	86,000000	
1813	313	84,000000	
1813	314	82,000000	
1813	315	85,000000	
1813	316	87,000000	
1813	317	86,000000	
1813	318	86,000000	
1813	319	85,000000	
1813	320	83,000000	
1813	321	86,000000	
1813	322	89,000000	
1814	323	87,000000	
1814	324	85,000000	
1814	325	83,000000	
1814	326	86,000000	
1814	327	87,000000	
1814	328	90,000000	
1814	329	89,000000	
1814	330	87,000000	
1814	331	88,000000	
1814	332	82,000000	
1814	333	66,000000	
1814	334	57,000000	
1814	335	50,000000	
1814	336	48,000000	
1814	337	44,000000	
1814	338	48,000000	
1814	339	61,000000	
1814	340	74,000000	
1814	341	90,000000	
1814	342	101,000000	
1815	343	93,000000	
1815	344	88,000000	
1815	345	88,000000	
1815	346	89,000000	
1815	347	89,000000	
1815	348	91,000000	
1815	349	91,000000	
1815	350	91,000000	
1815	351	83,000000	
1815	352	75,000000	
1815	353	53,000000	
1815	354	35,000000	
1815	355	25,000000	
1815	356	14,000000	
1815	357	11,000000	
