200226114612378.apd	26-2-2020	11:47:34
Minimum Value	0,000000		
Maximum Value	80,000000		
Mean Value	35,469543		
Standard  Deviation	30,909937		
Nb of Pixels	788,000000		
			
X Position	Y Position	Value	
1656	251	63,000000	
1656	252	62,000000	
1656	253	60,000000	
1656	254	60,000000	
1656	255	61,000000	
1656	256	62,000000	
1656	257	64,000000	
1656	258	68,000000	
1656	259	64,000000	
1657	260	59,000000	
1657	261	63,000000	
1657	262	65,000000	
1657	263	63,000000	
1657	264	64,000000	
1657	265	66,000000	
1657	266	66,000000	
1657	267	67,000000	
1657	268	66,000000	
1657	269	55,000000	
1657	270	44,000000	
1657	271	21,000000	
1657	272	1,000000	
1657	273	0,000000	
1657	274	0,000000	
1657	275	0,000000	
1657	276	0,000000	
1657	277	0,000000	
1658	278	0,000000	
1658	279	0,000000	
1658	280	0,000000	
1658	281	0,000000	
1658	282	0,000000	
1658	283	0,000000	
1658	284	0,000000	
1658	285	0,000000	
1658	286	0,000000	
1658	287	0,000000	
1658	288	0,000000	
1658	289	0,000000	
1658	290	0,000000	
1658	291	0,000000	
1658	292	0,000000	
1658	293	0,000000	
1658	294	1,000000	
1658	295	16,000000	
1659	296	40,000000	
1659	297	55,000000	
1659	298	72,000000	
1659	299	68,000000	
1659	300	64,000000	
1659	301	63,000000	
1659	302	64,000000	
1659	303	66,000000	
1659	304	65,000000	
1659	305	64,000000	
1659	306	65,000000	
1659	307	69,000000	
1659	308	72,000000	
1659	309	68,000000	
1659	310	62,000000	
1659	311	61,000000	
1659	312	60,000000	
1659	313	62,000000	
1660	314	61,000000	
1660	315	63,000000	
1660	316	62,000000	
1660	317	62,000000	
1660	318	55,000000	
1660	319	29,000000	
1660	320	8,000000	
1660	321	2,000000	
1660	322	0,000000	
1660	323	0,000000	
1660	324	0,000000	
1660	325	0,000000	
1660	326	0,000000	
1660	327	0,000000	
1660	328	0,000000	
1660	329	0,000000	
1660	330	0,000000	
1660	331	0,000000	
1661	332	0,000000	
1661	333	0,000000	
1661	334	0,000000	
1661	335	0,000000	
1661	336	0,000000	
1661	337	0,000000	
1661	338	0,000000	
1661	339	0,000000	
1661	340	0,000000	
1661	341	0,000000	
1661	342	0,000000	
1661	343	4,000000	
1661	344	15,000000	
1661	345	47,000000	
1661	346	76,000000	
1661	347	71,000000	
1661	348	69,000000	
1661	349	66,000000	
1662	350	65,000000	
1662	351	66,000000	
1662	352	65,000000	
1662	353	64,000000	
1662	354	65,000000	
1662	355	64,000000	
1662	356	64,000000	
1662	357	60,000000	
1662	358	59,000000	
1662	359	62,000000	
1662	360	64,000000	
1662	361	64,000000	
1662	362	63,000000	
1662	363	62,000000	
1662	364	57,000000	
1662	365	59,000000	
1662	366	56,000000	
1662	367	36,000000	
1663	368	18,000000	
1663	369	7,000000	
1663	370	0,000000	
1663	371	0,000000	
1663	372	0,000000	
1663	373	0,000000	
1663	374	0,000000	
1663	375	0,000000	
1663	376	0,000000	
1663	377	0,000000	
1663	378	0,000000	
1663	379	0,000000	
1663	380	0,000000	
1663	381	0,000000	
1663	382	0,000000	
1663	383	0,000000	
1663	384	0,000000	
1663	385	0,000000	
1664	386	0,000000	
1664	387	0,000000	
1664	388	0,000000	
1664	389	0,000000	
1664	390	0,000000	
1664	391	0,000000	
1664	392	5,000000	
1664	393	35,000000	
1664	394	64,000000	
1664	395	68,000000	
1664	396	69,000000	
1664	397	66,000000	
1664	398	63,000000	
1664	399	57,000000	
1664	400	59,000000	
1664	401	70,000000	
1664	402	74,000000	
1664	403	69,000000	
1665	404	69,000000	
1665	405	68,000000	
