200226113615980.apd	26-2-2020	11:43:45
Minimum Value	9,000000		
Maximum Value	201,000000		
Mean Value	126,028984		
Standard  Deviation	56,717445		
Nb of Pixels	138,000000		
			
X Position	Y Position	Value	
1204	353	197,000000	
1204	354	198,000000	
1204	355	197,000000	
1204	356	199,000000	
1204	357	201,000000	
1204	358	188,000000	
1204	359	123,000000	
1204	360	56,000000	
1204	361	85,000000	
1204	362	154,000000	
1204	363	156,000000	
1204	364	122,000000	
1204	365	74,000000	
1204	366	40,000000	
1204	367	93,000000	
1204	368	160,000000	
1204	369	140,000000	
1204	370	72,000000	
1205	371	59,000000	
1205	372	62,000000	
1205	373	123,000000	
1205	374	183,000000	
1205	375	193,000000	
1205	376	198,000000	
1205	377	145,000000	
1205	378	66,000000	
1205	379	91,000000	
1205	380	127,000000	
1205	381	118,000000	
1205	382	117,000000	
1205	383	90,000000	
1205	384	54,000000	
1205	385	117,000000	
1205	386	175,000000	
1205	387	118,000000	
1205	388	39,000000	
1205	389	104,000000	
1205	390	163,000000	
1205	391	176,000000	
1205	392	193,000000	
1205	393	173,000000	
1205	394	106,000000	
1205	395	97,000000	
1205	396	85,000000	
1205	397	103,000000	
1205	398	131,000000	
1205	399	103,000000	
1205	400	63,000000	
1205	401	103,000000	
1205	402	155,000000	
1205	403	105,000000	
1205	404	41,000000	
1206	405	101,000000	
1206	406	173,000000	
1206	407	193,000000	
1206	408	181,000000	
1206	409	121,000000	
1206	410	68,000000	
1206	411	105,000000	
1206	412	146,000000	
1206	413	112,000000	
1206	414	72,000000	
1206	415	88,000000	
1206	416	106,000000	
1206	417	87,000000	
1206	418	82,000000	
1206	419	124,000000	
1206	420	176,000000	
1206	421	177,000000	
1206	422	118,000000	
1206	423	98,000000	
1206	424	113,000000	
1206	425	99,000000	
1206	426	73,000000	
1206	427	95,000000	
1206	428	130,000000	
1206	429	112,000000	
1206	430	94,000000	
1206	431	127,000000	
1206	432	175,000000	
1206	433	167,000000	
1206	434	115,000000	
1206	435	98,000000	
1206	436	113,000000	
1206	437	106,000000	
1206	438	96,000000	
1207	439	84,000000	
1207	440	82,000000	
1207	441	135,000000	
1207	442	164,000000	
1207	443	179,000000	
1207	444	194,000000	
1207	445	199,000000	
1207	446	199,000000	
1207	447	197,000000	
1207	448	199,000000	
1207	449	199,000000	
1207	450	199,000000	
1207	451	198,000000	
1207	452	196,000000	
1207	453	194,000000	
1207	454	197,000000	
1207	455	198,000000	
1207	456	198,000000	
1207	457	198,000000	
1207	458	195,000000	
1207	459	122,000000	
1207	460	26,000000	
1207	461	12,000000	
1207	462	9,000000	
1207	463	32,000000	
1207	464	56,000000	
1207	465	123,000000	
1207	466	187,000000	
1207	467	197,000000	
1207	468	199,000000	
1207	469	150,000000	
1207	470	58,000000	
1207	471	30,000000	
1207	472	10,000000	
1208	473	16,000000	
1208	474	31,000000	
1208	475	94,000000	
1208	476	170,000000	
1208	477	193,000000	
1208	478	193,000000	
1208	479	187,000000	
1208	480	124,000000	
1208	481	56,000000	
1208	482	17,000000	
1208	483	11,000000	
1208	484	14,000000	
1208	485	74,000000	
1208	486	158,000000	
1208	487	183,000000	
1208	488	190,000000	
1208	489	197,000000	
1208	490	197,000000	

